 WARNING | 01-30-23 | 18:00:01 | Monday | [NO_REQUEST]: 502 | https://data.sanitino.eu/PRODUCT-85073/f79f03c7cfb6b632ee269aa7?size=feed-1080
 WARNING | 01-30-23 | 18:00:01 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39370/521eda5d2f82859571b792ff?v=505edce8&size=feed-1080
 WARNING | 01-30-23 | 18:00:01 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39366/e430f21c6d72271fbd891103?v=31278f22&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39367/aa1925fff070718219dadc7f?v=f8a54910&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39376/0534877264c4e2eeb3f6b180?v=a8b70237&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39374/22b1f42e837153660cb12b7e?v=ef4584e8&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39377/c2e808f6d1b0d05285c5cdfb?v=f35ade95&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39375/d4a28bd611ac8814ee13e035?v=3ae83911&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39378/b9dc41e14a025edbf850606e?v=aefecc24&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39373/a65490662a3468ef9e68f1a5?v=9c3c98d3&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39368/ef5bc29868d3f659b8dca062?v=7f5e0b6a&size=feed-1080
 WARNING | 01-30-23 | 18:00:02 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39369/8ea238c460d8b12e96da2df2?v=39e2e221&size=feed-1080
 DEBUG | 01-30-23 | 18:00:05 | Monday | 8000
